,country,date,UNEMP_rate
693,DEU,1996-01-01,8.566667
694,FRA,1996-01-01,12.3
695,GBR,1996-01-01,8.2
696,ITA,1996-01-01,11.0
697,JPN,1996-01-01,3.366667
698,KOR,1996-01-01,1.933333
699,USA,1996-01-01,5.533333
700,CAN,1996-04-01,9.433333
701,DEU,1996-04-01,8.766666
702,FRA,1996-04-01,12.36667
703,GBR,1996-04-01,8.3
704,ITA,1996-04-01,11.3
705,JPN,1996-04-01,3.4
706,KOR,1996-04-01,2.033333
707,USA,1996-04-01,5.5
708,CAN,1996-07-01,9.666667
709,DEU,1996-07-01,9.0
710,FRA,1996-07-01,12.43333
711,GBR,1996-07-01,8.1
712,ITA,1996-07-01,11.1
713,JPN,1996-07-01,3.333333
714,KOR,1996-07-01,2.033333
715,USA,1996-07-01,5.266667
716,CAN,1996-10-01,9.833333
717,DEU,1996-10-01,9.3
718,FRA,1996-10-01,12.5
719,GBR,1996-10-01,7.8
720,ITA,1996-10-01,11.2
721,JPN,1996-10-01,3.366667
722,KOR,1996-10-01,2.2
723,USA,1996-10-01,5.333333
724,CAN,1997-01-01,9.433333
725,DEU,1997-01-01,9.533334
726,FRA,1997-01-01,12.5
727,GBR,1997-01-01,7.3
728,ITA,1997-01-01,11.26667
729,JPN,1997-01-01,3.333333
730,KOR,1997-01-01,2.666667
731,USA,1997-01-01,5.233333
732,CAN,1997-04-01,9.3
733,DEU,1997-04-01,9.7
734,FRA,1997-04-01,12.4
735,GBR,1997-04-01,7.2
736,ITA,1997-04-01,11.4
737,JPN,1997-04-01,3.333333
738,KOR,1997-04-01,2.566667
739,USA,1997-04-01,5.0
740,CAN,1997-07-01,8.866667
741,DEU,1997-07-01,9.7
742,FRA,1997-07-01,12.33333
743,GBR,1997-07-01,6.8
744,ITA,1997-07-01,11.0
745,JPN,1997-07-01,3.433333
746,KOR,1997-07-01,2.433333
747,USA,1997-07-01,4.866667
748,CAN,1997-10-01,8.766666
749,DEU,1997-10-01,9.7
750,FRA,1997-10-01,12.16667
751,GBR,1997-10-01,6.5
752,ITA,1997-10-01,11.3
753,JPN,1997-10-01,3.5
754,KOR,1997-10-01,2.8
755,USA,1997-10-01,4.666667
756,CAN,1998-01-01,8.6
757,DEU,1998-01-01,9.666667
758,FRA,1998-01-01,12.03333
759,GBR,1998-01-01,6.4
760,ITA,1998-01-01,11.1
761,JPN,1998-01-01,3.666667
762,KOR,1998-01-01,4.966667
763,USA,1998-01-01,4.633333
764,CAN,1998-04-01,8.333333
765,DEU,1998-04-01,9.5
766,FRA,1998-04-01,12.06667
767,GBR,1998-04-01,6.3
768,ITA,1998-04-01,11.5
769,JPN,1998-04-01,4.066667
770,KOR,1998-04-01,7.033333
771,USA,1998-04-01,4.4
772,CAN,1998-07-01,8.2
773,DEU,1998-07-01,9.3
774,FRA,1998-07-01,12.1
775,GBR,1998-07-01,6.2
776,ITA,1998-07-01,11.3
777,JPN,1998-07-01,4.266667
778,KOR,1998-07-01,8.133333
779,USA,1998-07-01,4.533333
780,CAN,1998-10-01,8.033334
781,DEU,1998-10-01,9.066667
782,FRA,1998-10-01,12.0
783,GBR,1998-10-01,6.1
784,ITA,1998-10-01,11.43333
785,JPN,1998-10-01,4.4
786,KOR,1998-10-01,7.966667
787,USA,1998-10-01,4.433333
788,CAN,1999-01-01,7.9
789,DEU,1999-01-01,8.833333
790,FRA,1999-01-01,11.93333
791,GBR,1999-01-01,6.2
792,ITA,1999-01-01,11.1
793,JPN,1999-01-01,4.6
794,KOR,1999-01-01,7.4
795,USA,1999-01-01,4.3
796,CAN,1999-04-01,7.9
797,DEU,1999-04-01,8.633333
798,FRA,1999-04-01,11.53333
799,GBR,1999-04-01,6.0
800,ITA,1999-04-01,11.06667
801,JPN,1999-04-01,4.733333
